文件名,输入宽度,输入高度,输出宽度,输出高度,下采样后0值数量,下采样后0值占比,插值后0值数量,插值后0值占比,状态
20180110.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180122.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180215.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180227.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180311.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180323.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180404.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180416.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180428.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180510.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180522.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180603.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180615.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180627.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180709.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180721.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180802.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180814.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180826.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180907.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20180919.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20181001.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20181013.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20181025.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20181106.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20181118.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20181130.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20181212.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20181224.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190117.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190210.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190222.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190306.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190318.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190330.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190411.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190423.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190505.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190517.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190529.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190610.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190622.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190704.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190716.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190728.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190809.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190821.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190902.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20190926.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20191008.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20191020.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20191101.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20191113.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20191207.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20191219.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20191231.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200112.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200124.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200205.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200217.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200229.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200324.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200405.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200417.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200429.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200511.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200604.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200616.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200628.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200710.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200722.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200803.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200815.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200827.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200908.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20200920.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20201002.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20201014.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20201026.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20201107.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210106.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210118.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210130.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210211.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210223.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210307.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210319.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210331.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210412.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210424.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210506.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210518.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210530.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210611.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
